crate,test,error_type,error_text,error_subtext
flowrlib,wasm::test::load_test_wasm,Unsupported Operation,can't call foreign function `sigemptyset` on OS `linux`,NA
libsignal-protocol,buffer::tests::create_with_capacity,Unsupported Operation,can't call foreign function `signal_buffer_alloc` on OS `linux`,NA
libsignal-protocol,context::tests::library_initialization_example_from_readme_native,Unsupported Operation,can't call foreign function `signal_context_create` on OS `linux`,NA
cita-snappy,tests::valid,Unsupported Operation,can't call foreign function `snappy_max_compressed_length` on OS `linux`,NA
cita-snappy,tests::decompress_error,Unsupported Operation,can't call foreign function `snappy_uncompressed_length` on OS `linux`,NA
a2s,test_players,Unsupported Operation,can't call foreign function `socket` on OS `linux`,NA
rypt,crypto::libsodium::tests::test_aead_easy,Unsupported Operation,can't call foreign function `sodium_init` on OS `linux`,NA
actaeon,node::tests::test_address_random,Unsupported Operation,can't call foreign function `sodium_memcmp` on OS `linux`,NA
sparse_complex,tests::test_b_imag_is_zero,Unsupported Operation,can't call foreign function `solve_cpp` on OS `linux`,NA
containerd-shim-wasm,sandbox::exec::tests::test_fork,Unsupported Operation,can't call foreign function `statfs64` on OS `linux`,NA
cargo-clone-core,test_dir_path,Unsupported Operation,can't call foreign function `statfs` on OS `linux`,NA
office,issue_2,Unsupported Operation,can't call foreign function `timegm` on OS `linux`,NA
a2kit,lang::applesoft::minify_test::minify_funcs::upper_case_long_function,Unsupported Operation,can't call foreign function `tree_sitter_applesoft` on OS `linux`,NA
ast-grep-language,csharp::test_c_sharp_pattern,Unsupported Operation,can't call foreign function `tree_sitter_c_sharp` on OS `linux`,NA
ast-grep,run::test::test_run_with_pattern,Unsupported Operation,can't call foreign function `tree_sitter_c` on OS `linux`,NA
rust-code-analysis,comment_rm::tests::ccomment_remove_comments,Unsupported Operation,can't call foreign function `tree_sitter_ccomment` on OS `linux`,NA
ast-grep-language,cpp::test_cpp_replace,Unsupported Operation,can't call foreign function `tree_sitter_cpp` on OS `linux`,NA
ast-grep-language,css::test_css_pattern,Unsupported Operation,can't call foreign function `tree_sitter_css` on OS `linux`,NA
pepegsitter,d::tests::test_can_create_highlight,Unsupported Operation,can't call foreign function `tree_sitter_d` on OS `linux`,NA
ast-grep-language,go::test_go_pattern,Unsupported Operation,can't call foreign function `tree_sitter_go` on OS `linux`,NA
pepegsitter,haskell::tests::test_can_create_highlight,Unsupported Operation,can't call foreign function `tree_sitter_haskell` on OS `linux`,NA
pepegsitter,html::tests::test_can_create_highlight,Unsupported Operation,can't call foreign function `tree_sitter_html` on OS `linux`,NA
aws-fully-qualified-names,languages::java::test::finds_name_in_annotation,Unsupported Operation,can't call foreign function `tree_sitter_java` on OS `linux`,NA
ast-grep-language,test::test_js_string,Unsupported Operation,can't call foreign function `tree_sitter_javascript` on OS `linux`,NA
ast-grep-language,json::test_json_pattern,Unsupported Operation,can't call foreign function `tree_sitter_json` on OS `linux`,NA
ast-grep-language,kotlin::test_kotlin_pattern,Unsupported Operation,can't call foreign function `tree_sitter_kotlin` on OS `linux`,NA
ast-grep-language,lua::test_lua_pattern,Unsupported Operation,can't call foreign function `tree_sitter_lua` on OS `linux`,NA
tree-sitter-md,tests::inline_ranges,Unsupported Operation,can't call foreign function `tree_sitter_markdown` on OS `linux`,NA
a2kit,lang::merlin::tokenize_test::column4::only_lab,Unsupported Operation,can't call foreign function `tree_sitter_merlin6502` on OS `linux`,NA
rust-code-analysis,metrics::cognitive::tests::mozjs_1_level_nesting,Unsupported Operation,can't call foreign function `tree_sitter_mozjs` on OS `linux`,NA
tree-sitter-ocaml,tests::test_ocaml_interface,Unsupported Operation,can't call foreign function `tree_sitter_ocaml_interface` on OS `linux`,NA
ast-grep-language,python::test_python_pattern,Unsupported Operation,can't call foreign function `tree_sitter_python` on OS `linux`,NA
ast-grep,run::test::test_run_with_specific_lang,Unsupported Operation,can't call foreign function `tree_sitter_rust` on OS `linux`,NA
ast-grep-language,scala::test_scala_pattern,Unsupported Operation,can't call foreign function `tree_sitter_scala` on OS `linux`,NA
pepegsitter,toml::tests::test_can_create_highlight,Unsupported Operation,can't call foreign function `tree_sitter_toml` on OS `linux`,NA
ast-grep,print::cloud_print::test::test_hint_output,Unsupported Operation,can't call foreign function `tree_sitter_tsx` on OS `linux`,NA
ast-grep,print::colored_print::test::test_print_rules,Unsupported Operation,can't call foreign function `tree_sitter_typescript` on OS `linux`,NA
pepegsitter,yaml::tests::test_can_create_highlight,Unsupported Operation,can't call foreign function `tree_sitter_yaml` on OS `linux`,NA
rust_icu_uchar,tests::test_from_name,Unsupported Operation,can't call foreign function `u_charFromName_72` on OS `linux`,NA
rust_icu_uchar,tests::test_combining_class,Unsupported Operation,can't call foreign function `u_getCombiningClass_72` on OS `linux`,NA
rust_icu_sys,hygiene,Unsupported Operation,can't call foreign function `u_init_72` on OS `linux`,NA
rust_icu_ubrk,tests::test_binary_rules,Unsupported Operation,can't call foreign function `u_strFromUTF8_72` on OS `linux`,NA
rust_icu_umsg,tests::tzsave,Unsupported Operation,can't call foreign function `ucal_getDefaultTimeZone_72` on OS `linux`,NA
rust_icu_ucal,tests::test_get_set_millis,Unsupported Operation,can't call foreign function `ucal_getNow_72` on OS `linux`,NA
rust_icu_ucal,tests::test_get_tz_data_version,Unsupported Operation,can't call foreign function `ucal_getTZDataVersion_72` on OS `linux`,NA
rust_icu_ucal,tests::test_time_zone_id_enumeration_by_offset,Unsupported Operation,can't call foreign function `ucal_openTimeZoneIDEnumeration_72` on OS `linux`,NA
rust_icu_ucal,tests::test_time_zones,Unsupported Operation,can't call foreign function `ucal_openTimeZones_72` on OS `linux`,NA
rust_icu_ucnv,tests::test_converter_aliases,Unsupported Operation,can't call foreign function `ucnv_countAliases_72` on OS `linux`,NA
rust_icu_ucnv,tests::test_shiftjis_conversion,Unsupported Operation,can't call foreign function `ucnv_open_72` on OS `linux`,NA
rust_icu_ucol,tests::test_available,Unsupported Operation,can't call foreign function `ucol_openAvailableLocales_72` on OS `linux`,NA
rust_icu_ucol,tests::basic,Unsupported Operation,can't call foreign function `ucol_open_72` on OS `linux`,NA
rust_icu_ulistformatter,testing::test_formatting_sr,Unsupported Operation,can't call foreign function `ulistfmt_open_72` on OS `linux`,NA
rust_icu_ecma402,listformat::testing::test_formatting_table,Unsupported Operation,can't call foreign function `uloc_canonicalize_72` on OS `linux`,NA
rust_icu_uloc,tests::test_keyword_value,Unsupported Operation,can't call foreign function `uloc_forLanguageTag_72` on OS `linux`,NA
rust_icu_uloc,tests::test_to_legacy_key,Unsupported Operation,can't call foreign function `uloc_toLegacyKey_72` on OS `linux`,NA
rust_icu_uloc,tests::test_to_unicode_locale_key,Unsupported Operation,can't call foreign function `uloc_toUnicodeLocaleKey_72` on OS `linux`,NA
rust_icu_uloc,tests::test_to_unicode_locale_type,Unsupported Operation,can't call foreign function `uloc_toUnicodeLocaleType_72` on OS `linux`,NA
casper-node,components::diagnostics_port::tests::setup_listener_creates_listener,Unsupported Operation,can't call foreign function `umask` on OS `linux`,NA
linapi,module_file::tests::modinfo,Unsupported Operation,can't call foreign function `uname` on OS `linux`,NA
tantivy-analysis-contrib,icu::icu_normalizer::tests::test_default,Unsupported Operation,can't call foreign function `unorm2_getNFKCCasefoldInstance_72` on OS `linux`,NA
membership,dead_node_discovered,Unsupported Operation,can't call foreign function `unshare` on OS `linux`,NA
rust_icu_unum,tests::test_available,Unsupported Operation,can't call foreign function `unum_countAvailable_72` on OS `linux`,NA
rust_icu_upluralrules,testing::all_keywords_styled,Unsupported Operation,can't call foreign function `uplrules_openForType_72` on OS `linux`,NA
rust_icu_upluralrules,testing::plurals_ar_eg,Unsupported Operation,can't call foreign function `uplrules_open_72` on OS `linux`,NA
deltalake,time_travel_by_ds,Unsupported Operation,can't call foreign function `utimes` on OS `linux`,NA
rust_icu_utrans,tests::test_register_unregister,Unsupported Operation,can't call foreign function `utrans_openIDs_72` on OS `linux`,NA
lucetc,compile::call,Unsupported Operation,can't call foreign function `wabt_new_features` on OS `linux`,NA
hurl,runner::xpath::tests::test_cafe_xml,Unsupported Operation,can't call foreign function `xmlReadMemory` on OS `linux`,NA
flowrlib,executor::test::execute_job,Unsupported Operation,can't call foreign function `zmq_ctx_new` on OS `linux`,NA
zip_next,append,Unsupported Operation,can't call foreign function `zng_deflateInit2_` on OS `linux`,NA
archive-lp,xz_tar_extract_a_file_root,Unsupported Operation,can't execute syscall with ID 280,NA
eth-secp256k1,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],encountered uninitialized bytes
lucet-runtime-internals,context::tests::c_child::call_child_setcontext,Undefined Behavior,constructing invalid value at .value.__val[0],encountered uninitialized bytes
ctaes-sys,tests::aes_gcm_encrypt_test_vectors,Undefined Behavior,constructing invalid value at .value.data.parent1.parent1.parent1.data.0[0],encountered uninitialized bytes
dec,decnum_raw_parts,Undefined Behavior,constructing invalid value at .value.lsu[6],encountered uninitialized bytes
xxhrs,tests::test_streaming,Undefined Behavior,constructing invalid value at .value.reserved,"encountered uninitialized memory, but expected an integer"
speex-safe,bits::test::encodes_value,Undefined Behavior,constructing invalid value at .value.reserved1,"encountered uninitialized memory, but expected an integer"
xxhrs,tests::test_hash_set,Undefined Behavior,constructing invalid value at .value.reserved64,"encountered uninitialized memory, but expected an integer"
blake2_c,test::test_all_parameters_blake2s,Undefined Behavior,constructing invalid value at .value[0],encountered uninitialized bytes
blosc2-src,roundtrip,Undefined Behavior,"deallocating alloc25547, which is C heap memory, using Allocated in heap by LLVM deallocation operation",NA
tectonic_engine_bibtex,c_api::xbuf::tests::test_new,Undefined Behavior,"deallocating alloc27129, which is Allocated in heap by LLVM memory, using C heap deallocation operation",NA
tectonic_engine_bibtex,c_api::xbuf::tests::test_grow,Undefined Behavior,deallocating while item [Unique for <95806>] is strongly protected by call 45179,NA
webp-animation,webp_data::tests::test_encoder,Undefined Behavior,dereferencing pointer failed,null pointer is a dangling pointer (it has no provenance)
quickjs_regex,test_regex,Undefined Behavior,memory access failed,"alloc24748 has size 10, so pointer to 1 byte starting at offset 10 is out-of-bounds"
crypto_pimitives,aesni_test::aesni_192_key_expansion_test,Undefined Behavior,memory access failed,"alloc24968 has size 24, so pointer to 16 bytes starting at offset 16 is out-of-bounds"
lz4,encoder::test::test_encoder_random,Undefined Behavior,memory access failed,"alloc26535 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
lz4,encoder::test::test_favor_dec_speed,Undefined Behavior,memory access failed,"alloc26536 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
fluidlite,synth::font::test::font_and_preset,Undefined Behavior,memory access failed,"alloc26559 has size 1, so pointer to 3 bytes starting at offset 0 is out-of-bounds"
fluidlite,settings::test::int_setting,Undefined Behavior,memory access failed,"alloc26566 has size 1, so pointer to 3 bytes starting at offset 0 is out-of-bounds"
fluidlite,settings::test::settings_ref,Undefined Behavior,memory access failed,"alloc26567 has size 1, so pointer to 3 bytes starting at offset 0 is out-of-bounds"
fluidlite,settings::test::settings,Undefined Behavior,memory access failed,"alloc26571 has size 1, so pointer to 3 bytes starting at offset 0 is out-of-bounds"
lz4,encoder::test::test_encoder_send,Undefined Behavior,memory access failed,"alloc26588 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
fluidlite,settings::test::num_setting,Undefined Behavior,memory access failed,"alloc26632 has size 1, so pointer to 3 bytes starting at offset 0 is out-of-bounds"
lz4,decoder::test::test_decoder_smoke,Undefined Behavior,memory access failed,"alloc26652 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
lz4,decoder::test::test_decoder_send,Undefined Behavior,memory access failed,"alloc26653 has size 8, so pointer to 8 bytes starting at offset 64 is out-of-bounds"
lz4,decoder::test::test_decoder_empty,Undefined Behavior,memory access failed,"alloc26654 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
fluidlite,synth::test::synth_sf2,Undefined Behavior,memory access failed,"alloc26796 has size 1, so pointer to 3 bytes starting at offset 0 is out-of-bounds"
lz4,decoder::test::test_decoder_smallest,Undefined Behavior,memory access failed,"alloc26880 has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds"
ruwren,tests::init_vm,Undefined Behavior,memory access failed,"alloc27215 has size 8, so pointer to 16 bytes starting at offset 0 is out-of-bounds"
ruwren,tests::test_small_wren_program,Undefined Behavior,memory access failed,"alloc27231 has size 8, so pointer to 16 bytes starting at offset 0 is out-of-bounds"
ruwren,tests::test_small_wren_program_call,Undefined Behavior,memory access failed,"alloc27262 has size 8, so pointer to 16 bytes starting at offset 0 is out-of-bounds"
ruwren,tests::test_script_module,Undefined Behavior,memory access failed,"alloc27282 has size 8, so pointer to 16 bytes starting at offset 0 is out-of-bounds"
bsalib,v105::tests::write_read_identity_v105_compession,Undefined Behavior,memory access failed,"alloc27676 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
smush,tests::encode_lz4,Undefined Behavior,memory access failed,"alloc27721 has size 8, so pointer to 56 bytes starting at offset 0 is out-of-bounds"
n5,compression::lz::tests::test_write_doc_spec_block,Undefined Behavior,memory access failed,"alloc29452 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
n5,compression::lz::tests::test_read_doc_spec_block,Undefined Behavior,memory access failed,"alloc29480 has size 8, so pointer to 4 bytes starting at offset 264 is out-of-bounds"
ruwren,tests::test_external_module,Undefined Behavior,memory access failed,"alloc29586 has size 8, so pointer to 16 bytes starting at offset 0 is out-of-bounds"
n5,compression::lz::tests::test_rw,Undefined Behavior,memory access failed,"alloc30140 has size 8, so pointer to 56 bytes starting at offset 32 is out-of-bounds"
dec-number-sys,test_dec_quad_remainder,Undefined Behavior,memory access failed,"alloc30637 has size 112, so pointer to 4 bytes starting at offset 110 is out-of-bounds"
dec-number-sys,test_dec_quad_divide_fma,Undefined Behavior,memory access failed,"alloc32300 has size 112, so pointer to 4 bytes starting at offset 109 is out-of-bounds"
picohttpparser-sys,accept_msb_chars,Undefined Behavior,memory access failed,"alloc749 has size 5, so pointer to 16 bytes starting at offset 0 is out-of-bounds"
btreec,tests::basic,Undefined Behavior,memory access failed,null pointer is a dangling pointer (it has no provenance)
argonautica,hasher::tests::test_hasher_0x10_2i,Undefined Behavior,out-of-bounds pointer use,0x7f874e2501e8[noalloc] is a dangling pointer (it has no provenance)
argonautica,hasher::tests::test_hasher_0x13_2id,Undefined Behavior,out-of-bounds pointer use,0x7f87d22501d8[noalloc] is a dangling pointer (it has no provenance)
argonautica,hasher::tests::test_hasher_0x10_2d,Undefined Behavior,out-of-bounds pointer use,0x7fa4d2250d78[noalloc] is a dangling pointer (it has no provenance)
argonautica,hasher::tests::test_hasher_0x13_2d,Undefined Behavior,out-of-bounds pointer use,0x7fc4ba24f1d8[noalloc] is a dangling pointer (it has no provenance)
argonautica,hasher::tests::test_hasher_0x10_2id,Undefined Behavior,out-of-bounds pointer use,0x7fe496250ba8[noalloc] is a dangling pointer (it has no provenance)
argonautica,hasher::tests::test_hasher_0x13_2i,Undefined Behavior,out-of-bounds pointer use,0x7ffa9224fe18[noalloc] is a dangling pointer (it has no provenance)
dukt,tests::it_works,Undefined Behavior,pointer to alloc45976 was dereferenced after this allocation got freed,NA
dukt,serialize::tests::deserialize_obj,Undefined Behavior,pointer to alloc45995 was dereferenced after this allocation got freed,NA
dukt,tests::c_stuff,Undefined Behavior,pointer to alloc46015 was dereferenced after this allocation got freed,NA
dukt,tests::serialized,Undefined Behavior,pointer to alloc46041 was dereferenced after this allocation got freed,NA
dukt,value::test_rc,Undefined Behavior,pointer to alloc46099 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::function::js_function,Undefined Behavior,pointer to alloc47141 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::string::compare,Undefined Behavior,pointer to alloc47207 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::function::number_this,Undefined Behavior,pointer to alloc47324 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::option,Undefined Behavior,pointer to alloc47360 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::ducc::user_data_get,Undefined Behavior,pointer to alloc47361 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::variadic,Undefined Behavior,pointer to alloc47362 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::vec,Undefined Behavior,pointer to alloc47369 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::object::set_get,Undefined Behavior,pointer to alloc47383 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::tuple,Undefined Behavior,pointer to alloc47384 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::object::properties,Undefined Behavior,pointer to alloc47385 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::function::rust_function_error,Undefined Behavior,pointer to alloc47386 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::ducc::user_data_remove,Undefined Behavior,pointer to alloc47409 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::function::rust_closure_mut_callback_error,Undefined Behavior,pointer to alloc47418 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::bytes::to_vec,Undefined Behavior,pointer to alloc47436 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::array::set_get,Undefined Behavior,pointer to alloc47437 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::ducc::user_data_drop,Undefined Behavior,pointer to alloc47472 was dereferenced after this allocation got freed,NA
ducc,tests::array::push,Undefined Behavior,pointer to alloc47499 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::ducc::no_duktape_global,Undefined Behavior,pointer to alloc47503 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::array::len,Undefined Behavior,pointer to alloc47516 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::array::push,Undefined Behavior,pointer to alloc47517 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::util::test_protect_duktape_closure_err,Undefined Behavior,pointer to alloc47525 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::ducc::thread_data_sharing,Undefined Behavior,pointer to alloc47528 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::ducc::value_cross_contamination,Undefined Behavior,pointer to alloc47559 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::variadic,Undefined Behavior,pointer to alloc47613 was dereferenced after this allocation got freed,NA
ducc,tests::bytes::to_vec,Undefined Behavior,pointer to alloc47631 was dereferenced after this allocation got freed,NA
ducc,tests::object::define_prop_error,Undefined Behavior,pointer to alloc47643 was dereferenced after this allocation got freed,NA
ducc,tests::array::len,Undefined Behavior,pointer to alloc47646 was dereferenced after this allocation got freed,NA
ducc,tests::util::test_protect_duktape_closure_err,Undefined Behavior,pointer to alloc47647 was dereferenced after this allocation got freed,NA
ducc,tests::ducc::no_duktape_global,Undefined Behavior,pointer to alloc47648 was dereferenced after this allocation got freed,NA
ducc,tests::ducc::inspect_call_stack,Undefined Behavior,pointer to alloc47649 was dereferenced after this allocation got freed,NA
ducc,tests::object::set_get,Undefined Behavior,pointer to alloc47665 was dereferenced after this allocation got freed,NA
ducc,tests::ducc::timeout,Undefined Behavior,pointer to alloc47670 was dereferenced after this allocation got freed,NA
ducc,tests::array::set_get,Undefined Behavior,pointer to alloc47671 was dereferenced after this allocation got freed,NA
ducc,tests::object::define_prop,Undefined Behavior,pointer to alloc47684 was dereferenced after this allocation got freed,NA
ducc,tests::object::contains_key,Undefined Behavior,pointer to alloc47685 was dereferenced after this allocation got freed,NA
ducc,tests::function::js_function,Undefined Behavior,pointer to alloc47686 was dereferenced after this allocation got freed,NA
ducc,tests::function::rust_closure,Undefined Behavior,pointer to alloc47687 was dereferenced after this allocation got freed,NA
ducc,tests::object::call_prop,Undefined Behavior,pointer to alloc47704 was dereferenced after this allocation got freed,NA
ducc,tests::function::rust_closure_mut_callback_error,Undefined Behavior,pointer to alloc47712 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::tuple,Undefined Behavior,pointer to alloc47716 was dereferenced after this allocation got freed,NA
ducc,tests::function::rust_function_error,Undefined Behavior,pointer to alloc47727 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::vec,Undefined Behavior,pointer to alloc47732 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::btree_map,Undefined Behavior,pointer to alloc47735 was dereferenced after this allocation got freed,NA
ducc,tests::util::test_throw_non_object_error,Undefined Behavior,pointer to alloc47801 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::option,Undefined Behavior,pointer to alloc47802 was dereferenced after this allocation got freed,NA
ducc,tests::ducc::user_data_get,Undefined Behavior,pointer to alloc47803 was dereferenced after this allocation got freed,NA
ducc,tests::ducc::user_data_remove,Undefined Behavior,pointer to alloc47815 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::btree_set,Undefined Behavior,pointer to alloc47835 was dereferenced after this allocation got freed,NA
ducc,tests::ducc::value_cross_contamination,Undefined Behavior,pointer to alloc47842 was dereferenced after this allocation got freed,NA
ducc,tests::util::test_assert_stack_panic,Undefined Behavior,pointer to alloc47847 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::hash_map,Undefined Behavior,pointer to alloc48023 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::btree_map,Undefined Behavior,pointer to alloc48101 was dereferenced after this allocation got freed,NA
brioche-ducc,tests::conversion::hash_set,Undefined Behavior,pointer to alloc48204 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::btree_set,Undefined Behavior,pointer to alloc48245 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::hash_map,Undefined Behavior,pointer to alloc48263 was dereferenced after this allocation got freed,NA
ducc,tests::conversion::hash_set,Undefined Behavior,pointer to alloc48443 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_null,Undefined Behavior,pointer to alloc48614 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_array,Undefined Behavior,pointer to alloc48615 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_object,Undefined Behavior,pointer to alloc48647 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_number_integral,Undefined Behavior,pointer to alloc48660 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_call_global_args,Undefined Behavior,pointer to alloc48661 was dereferenced after this allocation got freed,NA
duk,tests::log_trace,Undefined Behavior,pointer to alloc48664 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_global_object_get_key_new,Undefined Behavior,pointer to alloc48665 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_global_object_get_key_call,Undefined Behavior,pointer to alloc48666 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_boolean_true,Undefined Behavior,pointer to alloc48668 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_error_generic,Undefined Behavior,pointer to alloc48669 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_global_object_get_key_call_with_this,Undefined Behavior,pointer to alloc48674 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_undefined,Undefined Behavior,pointer to alloc48679 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_eval_error,Undefined Behavior,pointer to alloc48680 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_call_global,Undefined Behavior,pointer to alloc48681 was dereferenced after this allocation got freed,NA
duk,tests::load_module,Undefined Behavior,pointer to alloc48730 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_call_global_error,Undefined Behavior,pointer to alloc48752 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_boolean_false,Undefined Behavior,pointer to alloc48755 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_reference_error,Undefined Behavior,pointer to alloc48757 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_number_fractional,Undefined Behavior,pointer to alloc48773 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_global_object_call_method,Undefined Behavior,pointer to alloc48824 was dereferenced after this allocation got freed,NA
duk,tests::eval_string_type_error,Undefined Behavior,pointer to alloc48825 was dereferenced after this allocation got freed,NA
mysql_async,conn::test::should_provide_multiresult_set_metadata,Unsupported Operation,returning ready events from epoll_wait is not yet implemented,NA
cf_rh320u_93_reader,change_colors,Undefined Behavior,scalar size mismatch,expected 4 bytes but got 16 bytes instead
matrix-sdk,client::delete_devices,internal compiler error,src/tools/miri/src/diagnostics.rs,308
hacl-star,test_aead,internal compiler error,src/tools/miri/src/shims/llvm/helpers.rs,46
bdflib,tests::it_writes_compressed,deadlock,the evaluated program deadlocked,NA
kg-js,ser::tests::write_struct,Undefined Behavior,"trying to retag from <100725> for SharedReadWrite permission at alloc28152[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,de::tests::deserialize_zero,Undefined Behavior,"trying to retag from <100900> for SharedReadWrite permission at alloc28231[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_option_none,Undefined Behavior,"trying to retag from <100915> for SharedReadWrite permission at alloc28226[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,tests::engine::test_to_lstring_safety,Undefined Behavior,"trying to retag from <101087> for SharedReadWrite permission at alloc28227[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_option_some,Undefined Behavior,"trying to retag from <101120> for SharedReadWrite permission at alloc28354[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_newtype_variant,Undefined Behavior,"trying to retag from <101149> for SharedReadWrite permission at alloc28253[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_newtype_struct,Undefined Behavior,"trying to retag from <101154> for SharedReadWrite permission at alloc28252[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_enum_unit_variant,Undefined Behavior,"trying to retag from <101157> for SharedReadWrite permission at alloc28255[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,tests::interop::call_rust_function,Undefined Behavior,"trying to retag from <101165> for SharedReadWrite permission at alloc28268[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_bytes,Undefined Behavior,"trying to retag from <101233> for SharedReadWrite permission at alloc28289[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_enum_tuple_variant,Undefined Behavior,"trying to retag from <101425> for SharedReadWrite permission at alloc28388[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,de::tests::read_struct,Undefined Behavior,"trying to retag from <101426> for SharedReadWrite permission at alloc28384[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_enum_struct_variant,Undefined Behavior,"trying to retag from <101438> for SharedReadWrite permission at alloc28385[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_string,Undefined Behavior,"trying to retag from <101644> for SharedReadWrite permission at alloc28465[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_struct_variant,Undefined Behavior,"trying to retag from <101802> for SharedReadWrite permission at alloc28535[0x8], but that tag only grants SharedReadOnly permission for this location",NA
kg-js,ser::tests::write_map,Undefined Behavior,"trying to retag from <103061> for SharedReadWrite permission at alloc28857[0x8], but that tag only grants SharedReadOnly permission for this location",NA
mtpng,encoder::tests::test_rows,Undefined Behavior,"trying to retag from <270741> for SharedReadOnly permission at alloc60233[0x0], but that tag does not exist in the borrow stack for this location",NA
spng,decode_001_raw_context,Undefined Behavior,"trying to retag from <97100> for Unique permission at alloc25962[0x0], but that tag does not exist in the borrow stack for this location",NA
spng,decode_001_slice,Undefined Behavior,"trying to retag from <97183> for Unique permission at alloc25992[0x0], but that tag does not exist in the borrow stack for this location",NA
spng,decode_001_cursor,Undefined Behavior,"trying to retag from <97201> for Unique permission at alloc26002[0x0], but that tag does not exist in the borrow stack for this location",NA
